loan_id,entity,product,quarter,loan_amount,load_batch_id
URB-MOR-2025Q1-0000,US Retail Bank,Mortgage,2025Q1,1049533.56,B2025Q1-01
URB-MOR-2025Q1-0001,US Retail Bank,Mortgage,2025Q1,525991.84,B2025Q1-01
URB-MOR-2025Q1-0002,US Retail Bank,Mortgage,2025Q1,525954.33,B2025Q1-01
URB-MOR-2025Q1-0003,US Retail Bank,Mortgage,2025Q1,200787.94,B2025Q1-01
URB-MOR-2025Q1-0004,US Retail Bank,Mortgage,2025Q1,135473.45,B2025Q1-01
URB-MOR-2025Q1-0005,US Retail Bank,Mortgage,2025Q1,276565.73,B2025Q1-01
URB-MOR-2025Q1-0006,US Retail Bank,Mortgage,2025Q1,261630.93,B2025Q1-01
URB-MOR-2025Q1-0007,US Retail Bank,Mortgage,2025Q1,766838.36,B2025Q1-01
URB-MOR-2025Q1-0008,US Retail Bank,Mortgage,2025Q1,262810.15,B2025Q1-01
URB-MOR-2025Q1-0009,US Retail Bank,Mortgage,2025Q1,299773.78,B2025Q1-01
URB-MOR-2025Q1-0010,US Retail Bank,Mortgage,2025Q1,377784.17,B2025Q1-01
URB-MOR-2025Q1-0011,US Retail Bank,Mortgage,2025Q1,530715.68,B2025Q1-01
URB-MOR-2025Q1-0012,US Retail Bank,Mortgage,2025Q1,618325.34,B2025Q1-01
URB-MOR-2025Q1-0013,US Retail Bank,Mortgage,2025Q1,1081258.48,B2025Q1-01
URB-MOR-2025Q1-0014,US Retail Bank,Mortgage,2025Q1,195042.27,B2025Q1-01
URB-MOR-2025Q1-0015,US Retail Bank,Mortgage,2025Q1,268564.54,B2025Q1-01
URB-MOR-2025Q1-0016,US Retail Bank,Mortgage,2025Q1,185264.63,B2025Q1-01
URB-MOR-2025Q1-0017,US Retail Bank,Mortgage,2025Q1,126372.94,B2025Q1-01
URB-MOR-2025Q1-0018,US Retail Bank,Mortgage,2025Q1,432747.74,B2025Q1-01
URB-MOR-2025Q1-0019,US Retail Bank,Mortgage,2025Q1,306227.85,B2025Q1-01
URB-MOR-2025Q1-0020,US Retail Bank,Mortgage,2025Q1,929569.8,B2025Q1-01
URB-MOR-2025Q1-0021,US Retail Bank,Mortgage,2025Q1,236304.03,B2025Q1-01
URB-MOR-2025Q1-0022,US Retail Bank,Mortgage,2025Q1,756943.94,B2025Q1-01
URB-MOR-2025Q1-0023,US Retail Bank,Mortgage,2025Q1,508118.89,B2025Q1-01
URB-MOR-2025Q1-0024,US Retail Bank,Mortgage,2025Q1,200520.85,B2025Q1-01
URB-MOR-2025Q1-0025,US Retail Bank,Mortgage,2025Q1,225277.82,B2025Q1-02
URB-MOR-2025Q1-0026,US Retail Bank,Mortgage,2025Q1,277743.24,B2025Q1-02
URB-MOR-2025Q1-0027,US Retail Bank,Mortgage,2025Q1,164652.2,B2025Q1-02
URB-MOR-2025Q1-0028,US Retail Bank,Mortgage,2025Q1,623085.69,B2025Q1-02
URB-MOR-2025Q1-0029,US Retail Bank,Mortgage,2025Q1,203773.23,B2025Q1-02
URB-MOR-2025Q1-0030,US Retail Bank,Mortgage,2025Q1,444847.85,B2025Q1-02
URB-MOR-2025Q1-0031,US Retail Bank,Mortgage,2025Q1,248214.19,B2025Q1-02
URB-MOR-2025Q1-0032,US Retail Bank,Mortgage,2025Q1,163428.96,B2025Q1-02
URB-MOR-2025Q1-0033,US Retail Bank,Mortgage,2025Q1,227470.79,B2025Q1-02
URB-MOR-2025Q1-0034,US Retail Bank,Mortgage,2025Q1,335932.87,B2025Q1-02
URB-MOR-2025Q1-0035,US Retail Bank,Mortgage,2025Q1,296531.83,B2025Q1-02
URB-MOR-2025Q1-0036,US Retail Bank,Mortgage,2025Q1,251589.07,B2025Q1-02
URB-MOR-2025Q1-0037,US Retail Bank,Mortgage,2025Q1,426878.12,B2025Q1-02
URB-MOR-2025Q1-0038,US Retail Bank,Mortgage,2025Q1,270416.17,B2025Q1-02
URB-MOR-2025Q1-0039,US Retail Bank,Mortgage,2025Q1,607094.35,B2025Q1-02
URB-MOR-2025Q1-0040,US Retail Bank,Mortgage,2025Q1,313205.37,B2025Q1-02
URB-MOR-2025Q1-0041,US Retail Bank,Mortgage,2025Q1,604273.24,B2025Q1-02
URB-MOR-2025Q1-0042,US Retail Bank,Mortgage,2025Q1,859724.73,B2025Q1-02
URB-MOR-2025Q1-0043,US Retail Bank,Mortgage,2025Q1,538193.94,B2025Q1-02
URB-MOR-2025Q1-0044,US Retail Bank,Mortgage,2025Q1,871727.84,B2025Q1-02
URB-MOR-2025Q1-0045,US Retail Bank,Mortgage,2025Q1,389663.12,B2025Q1-02
URB-MOR-2025Q1-0046,US Retail Bank,Mortgage,2025Q1,601665.49,B2025Q1-02
URB-MOR-2025Q1-0047,US Retail Bank,Mortgage,2025Q1,261805.36,B2025Q1-02
URB-MOR-2025Q1-0048,US Retail Bank,Mortgage,2025Q1,467595.54,B2025Q1-02
URB-MOR-2025Q1-0049,US Retail Bank,Mortgage,2025Q1,461146.16,B2025Q1-02
URB-MOR-2025Q1-0050,US Retail Bank,Mortgage,2025Q1,191643.51,B2025Q1-03
URB-MOR-2025Q1-0051,US Retail Bank,Mortgage,2025Q1,316215.15,B2025Q1-03
URB-MOR-2025Q1-0052,US Retail Bank,Mortgage,2025Q1,407233.86,B2025Q1-03
URB-MOR-2025Q1-0053,US Retail Bank,Mortgage,2025Q1,163673.83,B2025Q1-03
URB-MOR-2025Q1-0054,US Retail Bank,Mortgage,2025Q1,265580.4,B2025Q1-03
URB-MOR-2025Q1-0055,US Retail Bank,Mortgage,2025Q1,247798.85,B2025Q1-03
URB-MOR-2025Q1-0056,US Retail Bank,Mortgage,2025Q1,617225.12,B2025Q1-03
URB-MOR-2025Q1-0057,US Retail Bank,Mortgage,2025Q1,240277.67,B2025Q1-03
URB-MOR-2025Q1-0058,US Retail Bank,Mortgage,2025Q1,402349.82,B2025Q1-03
URB-MOR-2025Q1-0059,US Retail Bank,Mortgage,2025Q1,164258.9,B2025Q1-03
URB-MOR-2025Q1-0060,US Retail Bank,Mortgage,2025Q1,458750.25,B2025Q1-03
URB-MOR-2025Q1-0061,US Retail Bank,Mortgage,2025Q1,257323.64,B2025Q1-03
URB-MOR-2025Q1-0062,US Retail Bank,Mortgage,2025Q1,176872.79,B2025Q1-03
URB-MOR-2025Q1-0063,US Retail Bank,Mortgage,2025Q1,305074.52,B2025Q1-03
URB-MOR-2025Q1-0064,US Retail Bank,Mortgage,2025Q1,474669.24,B2025Q1-03
URB-MOR-2025Q1-0065,US Retail Bank,Mortgage,2025Q1,389995.08,B2025Q1-03
URB-MOR-2025Q1-0066,US Retail Bank,Mortgage,2025Q1,622586.92,B2025Q1-03
URB-MOR-2025Q1-0067,US Retail Bank,Mortgage,2025Q1,1992607.71,B2025Q1-03
URB-MOR-2025Q1-0068,US Retail Bank,Mortgage,2025Q1,207282.42,B2025Q1-03
URB-MOR-2025Q1-0069,US Retail Bank,Mortgage,2025Q1,321431.6,B2025Q1-03
URB-MOR-2025Q1-0070,US Retail Bank,Mortgage,2025Q1,79934.46,B2025Q1-03
URB-MOR-2025Q1-0071,US Retail Bank,Mortgage,2025Q1,225033.82,B2025Q1-03
URB-MOR-2025Q1-0072,US Retail Bank,Mortgage,2025Q1,209320.14,B2025Q1-03
URB-MOR-2025Q1-0073,US Retail Bank,Mortgage,2025Q1,512777.98,B2025Q1-03
URB-MOR-2025Q1-0074,US Retail Bank,Mortgage,2025Q1,440605.55,B2025Q1-03
URB-MOR-2025Q1-0075,US Retail Bank,Mortgage,2025Q1,297061.63,B2025Q1-04
URB-MOR-2025Q1-0076,US Retail Bank,Mortgage,2025Q1,124293.0,B2025Q1-04
URB-MOR-2025Q1-0077,US Retail Bank,Mortgage,2025Q1,182322.33,B2025Q1-04
URB-MOR-2025Q1-0078,US Retail Bank,Mortgage,2025Q1,729362.78,B2025Q1-04
URB-MOR-2025Q1-0079,US Retail Bank,Mortgage,2025Q1,470231.3,B2025Q1-04
URB-MOR-2025Q1-0080,US Retail Bank,Mortgage,2025Q1,112413.29,B2025Q1-04
URB-MOR-2025Q1-0081,US Retail Bank,Mortgage,2025Q1,404906.06,B2025Q1-04
URB-MOR-2025Q1-0082,US Retail Bank,Mortgage,2025Q1,84594.54,B2025Q1-04
URB-MOR-2025Q1-0083,US Retail Bank,Mortgage,2025Q1,435550.43,B2025Q1-04
URB-MOR-2025Q1-0084,US Retail Bank,Mortgage,2025Q1,178078.74,B2025Q1-04
URB-MOR-2025Q1-0085,US Retail Bank,Mortgage,2025Q1,274853.43,B2025Q1-04
URB-MOR-2025Q1-0086,US Retail Bank,Mortgage,2025Q1,286856.56,B2025Q1-04
URB-MOR-2025Q1-0087,US Retail Bank,Mortgage,2025Q1,335458.76,B2025Q1-04
URB-MOR-2025Q1-0088,US Retail Bank,Mortgage,2025Q1,379785.08,B2025Q1-04
URB-MOR-2025Q1-0089,US Retail Bank,Mortgage,2025Q1,743758.68,B2025Q1-04
URB-MOR-2025Q1-0090,US Retail Bank,Mortgage,2025Q1,911221.18,B2025Q1-04
URB-MOR-2025Q2-0000,US Retail Bank,Mortgage,2025Q2,2050477.31,B2025Q2-01
URB-MOR-2025Q2-0001,US Retail Bank,Mortgage,2025Q2,278349.71,B2025Q2-01
URB-MOR-2025Q2-0002,US Retail Bank,Mortgage,2025Q2,157695.25,B2025Q2-01
URB-MOR-2025Q2-0003,US Retail Bank,Mortgage,2025Q2,213507.41,B2025Q2-01
URB-MOR-2025Q2-0004,US Retail Bank,Mortgage,2025Q2,455080.36,B2025Q2-01
URB-MOR-2025Q2-0005,US Retail Bank,Mortgage,2025Q2,746607.99,B2025Q2-01
URB-MOR-2025Q2-0006,US Retail Bank,Mortgage,2025Q2,249058.98,B2025Q2-01
URB-MOR-2025Q2-0007,US Retail Bank,Mortgage,2025Q2,476399.5,B2025Q2-01
URB-MOR-2025Q2-0008,US Retail Bank,Mortgage,2025Q2,378631.67,B2025Q2-01
URB-MOR-2025Q2-0009,US Retail Bank,Mortgage,2025Q2,481901.85,B2025Q2-01
URB-MOR-2025Q2-0010,US Retail Bank,Mortgage,2025Q2,302753.24,B2025Q2-01
URB-MOR-2025Q2-0011,US Retail Bank,Mortgage,2025Q2,674899.75,B2025Q2-01
URB-MOR-2025Q2-0012,US Retail Bank,Mortgage,2025Q2,140889.52,B2025Q2-01
URB-MOR-2025Q2-0013,US Retail Bank,Mortgage,2025Q2,711844.52,B2025Q2-01
URB-MOR-2025Q2-0014,US Retail Bank,Mortgage,2025Q2,327856.16,B2025Q2-01
URB-MOR-2025Q2-0015,US Retail Bank,Mortgage,2025Q2,670686.72,B2025Q2-01
URB-MOR-2025Q2-0016,US Retail Bank,Mortgage,2025Q2,261062.03,B2025Q2-01
URB-MOR-2025Q2-0017,US Retail Bank,Mortgage,2025Q2,213332.03,B2025Q2-01
